OrderLineID,OrderID,ProductID,Quantity,UnitPrice,Discount,LineTotal
1,1,181,3,448.67,0.05,1278.72
2,1,208,9,655.61,0,5900.52
3,1,267,16,556.46,0,8903.3
4,1,20,5,569.39,0.2,2277.54
5,2,211,2,130.04,0,260.09
6,2,287,12,700.61,0,8407.36
7,3,281,11,63.76,0,701.33
8,3,381,20,82.78,0,1655.61
9,4,102,17,722.62,0,12284.52
10,4,181,4,505.06,0,2020.24
11,4,253,19,677.59,0,12874.22
12,4,8,8,1054.42,0,8435.34
13,5,298,9,676.57,0,6089.13
14,5,255,14,99.76,0,1396.62
15,5,125,13,227.42,0,2956.52
16,6,191,2,918.04,0,1836.09
17,6,291,11,426.54,0,4691.96
18,6,113,2,595.9,0,1191.81
19,6,144,20,264.71,0,5294.21
20,6,40,18,516.03,0,9288.53
21,7,389,9,212.05,0,1908.43
22,7,38,15,735.43,0,11031.39
23,8,286,15,240.07,0,3601.01
24,8,37,13,272.04,0,3536.57
25,8,359,10,44.7,0,446.99
26,8,11,13,351.93,0,4575.04
27,8,268,12,487.48,0,5849.77
28,8,41,15,930.21,0.2,11162.56
29,9,121,19,315.09,0,5986.79
30,9,62,18,803.45,0,14462.09
31,10,392,11,620.05,0.15,5797.51
32,11,304,17,685.86,0,11659.66
33,11,136,2,317.91,0,635.83
34,11,371,5,121.04,0,605.21
35,11,242,4,118.31,0,473.26
36,11,27,7,16.71,0,116.98
37,12,155,15,362.56,0,5438.37
38,12,152,15,49.76,0,746.4
39,12,231,4,395.08,0.15,1343.29
40,13,129,13,401,0,5212.95
41,13,27,15,17.85,0,267.78
42,13,97,14,657.76,0.2,7366.88
43,14,55,17,160.02,0,2720.28
44,14,198,13,301.63,0.05,3725.16
45,14,191,19,1081.67,0,20551.71
46,14,165,2,191.72,0.1,345.1
47,14,257,7,150.52,0.15,895.62
48,14,120,10,726.65,0.15,6176.49
49,14,329,12,793.79,0,9525.44
50,14,65,3,1175.32,0,3525.95
51,15,386,16,708.27,0,11332.32
52,16,284,3,76.23,0,228.68
53,16,363,15,113.47,0,1701.99
54,16,357,20,322.22,0,6444.39
55,16,134,15,718.27,0,10774.04
56,17,346,2,1132.72,0.15,1925.63
57,18,326,18,44.57,0,802.35
58,18,30,16,743.39,0,11894.21
59,18,391,6,778.92,0,4673.55
60,18,369,3,338.18,0,1014.54
61,18,308,6,545.39,0,3272.34
62,18,126,7,834.04,0,5838.26
63,18,242,6,109.65,0,657.89
64,19,363,6,110.65,0,663.91
65,19,324,6,719.53,0.1,3885.45
66,20,27,15,15.87,0,238.01
67,20,280,10,268.5,0,2684.98
68,20,166,5,949.5,0,4747.51
69,20,246,10,347.37,0,3473.7
70,21,299,9,188.48,0.2,1357.05
71,21,153,6,591.5,0,3549.02
72,21,204,17,164.49,0,2796.41
73,21,15,1,393.29,0,393.29
74,22,230,18,742.33,0,13361.94
75,22,179,20,860.33,0,17206.55
76,22,198,2,310.04,0,620.07
77,22,70,3,707.39,0,2122.16
78,23,260,6,713.59,0,4281.56
79,23,97,7,704.65,0,4932.57
80,23,310,2,95.39,0,190.78
81,23,327,3,229.5,0,688.49
82,24,213,10,182.21,0,1822.15
83,24,61,16,482.36,0,7717.74
84,25,54,3,194.59,0,583.77
85,25,387,1,817.28,0,817.28
86,25,134,4,695.42,0,2781.67
87,25,103,14,690.27,0,9663.76
